aber nur bei sich: 1
aber nur mut die: 1
aber nur mut wen: 1
aber ob er mich: 1
aber ob ich dahingelangen: 1
aber ob ich sie: 1
aber ohne die lage: 1
aber ohne echte zuversicht: 1
aber ohne erfolg es: 1
aber ohne erfolg ich: 1
aber ohne hoffnung in: 1
aber ohne positiven erfolg: 1
aber ohne rechte klarheit: 1
aber ohne rechten erfolg: 1
aber ohne wirklichen animo: 1
aber schon wieder werden: 1
aber soll der scheinwerfer: 1
aber soll ich mich: 1
aber tun daß mein: 1
aber viel erlebt bin: 1
aber warum nicht ein: 1
aber was wäre ich: 1
aber wie wenn einer: 1
aber wir haben anzeichen: 1
aber wir werden ja: 1
aber wohl nicht allzu: 1
aber ziemlich hoffnungslos nachmittags: 1
aber zu müde es: 1
aber zu müde und: 1
abgehen werde kann meines: 1
abgelenkt gestern fing ich: 1
abgeschickt wie oft ich: 1
abhängen nicht viel gearbeitet: 1
abhängen weder von günstigen: 1
abhängig von der welt: 1
abkommandiert ich habe viel: 1
ablegen über eine zwingende: 1
aborte des schiffs sind: 1
abschließe ich kann mit: 1
abschließen nicht leicht nicht: 1
abseits vom trostlosen unendlichen: 1
absurditäten fühle darum heute: 1
abteilung sprechen dies werde: 1
abziehe die größte schwierigkeit: 1
abzufahren also wird es: 1
adeln muß hiedurch wird: 1
adjutanten des oblt gürth: 1
aeroplan sehr viel gearbeitet: 1
alarm ich behielt vollkommene: 1
alarm ich war furchtbar: 1
alarmiert werden wie werde: 1
alle anderen waren riesig: 1
alle diese menschen ohnmächtig: 1
alle geschäfte sind geschlossen: 1
alle leute besoffen gestern: 1
alle von selbst vor: 1
allein in einem wirklichen: 1
allem was darauf war: 1
allen den begriffen meiner: 1
allen gewalten zum trotze: 1
allen leuten zusammen schlafen: 1
allen mitteln meine versetzung: 1
allen seiten heftigster kanonendonner: 1
allen stellen soll ich: 1
allen unseren äußeren umständen: 1
aller bestimmtheit erwartet ich: 1
aller früh verließen wir: 1
aller kraft zu erhalten: 1
aller wahrscheinlichkeit nach unentrinnbar: 1
alles bewaffnet auf dem: 1
alles deshalb schon jetzt: 1
alles erleben müssen werde: 1
alles geht in dunst: 1
alles gott überlassen also: 1
alles in gottes hand: 1
alles mögliche gesprochen ein: 1
alles mögliche zu verrichten: 1
alles tief traurig nachmitt: 1
alles was einem geschieht: 1
alles wesentliche lösen könnte: 1
alles wohl nun also: 1
allgemeine es geht nur: 1
allzu schlecht standen den: 1
als die alte befehl: 1
als durch selbstmord geschehen: 1
als ein russischer aeroplan: 1
als eine bürde während: 1
als eine gnade muß: 1
als er hörte daß: 1
als faulpelz und auch: 1
als früher aber nur: 1
als früher heute wieder: 1
als gnade dankbar genießen: 1
als ich dadurch der: 1
als ich ihn untersuchen: 1
als ich jetzt habe: 1
als ich lebe nur: 1
als je die furchtbare: 1
als jetzt wie schwer: 1
als läge mir ein: 1
als ob auch mein: 1
als ob die liebe: 1
als schlechte nachrichten es: 1
als sei es nun: 1
als sei ich furchtsam: 1
als seinen diener nachm: 1
als stünde ich knapp: 1
als von menschen unabhängig: 1
als zu treffen auch: 1
also aus dem bett: 1
also dachte in den: 1
also doch nicht wahr: 1
also gerade als ob: 1
also heute nacht wir: 1
also in demut die: 1
also leben um in: 1
also muß sich bald: 1
also ruhige nacht höre: 1
also schon dezember und: 1
also sind wir wahrscheinlich: 1
also wird es wieder: 1
alte befehl alles bewaffnet: 1
alte mannschaft dieses schiffes: 1
am 20 8 schrieb: 1
am 9 des vorigen: 1
am abend mich auf: 1
am abend noch etwas: 1
am besten kann ich: 1
am boden schreibe lese: 1
am korpskommando meinen verpflegszettel: 1
am korpskommando mit unserem: 1
am leichtesten verliert man: 1
am nachmittag gearbeitet ich: 1
am posten als eine: 1
am posten fühlte mich: 1
am sand stecken geblieben: 1
am schiff abschließe ich: 1
am tag schlafe ich: 1
am vormittag hinlegen und: 1
amen amen amen heute: 1
amen amen heute in: 1
amen heute in aller: 1
an david abgeschickt wie: 1
an david ob ich: 1
an david vielleicht an: 1
an dem tor daran: 1
an den armen paul: 1
an der wand der: 1
an die artilleriestabsabteilung gewiesen: 1
an die ohnmacht des: 1
an die zeit der: 1
an dieselbe stelle den: 1
an einem anderen schiff: 1
an ermutigt ihn zu: 1
an ficker besorgungen gemacht: 1
an geld zum einkaufen: 1
an heute nacht müssen: 1
an ihn denke ob: 1
an in tolstois erläuterungen: 1
an mich am 9: 1
an mich denkt es: 1
an mich denkt heute: 1
an nichts eine rechte: 1
an paul sehr viel: 1
an ruhr erkrankt ist: 1
an russell ob er: 1
an russell schreiben oder: 1
an seine stelle dies: 1
an was mich freute: 1
an wie ein stein: 1
anblick der hauptfragen ermattet: 1
andere besatzung darauf wache: 1
anderen am schiff abschließe: 1
anderen an ermutigt ihn: 1
anderen halt haben um: 1
anderen leuten schenken will: 1
anderen offizier was für: 1
anderen schiff bei der: 1
anderen schiff geschleppt werden: 1
anderen schiff mit dem: 1
anderen schiffes heute sollen: 1
anderen waren riesig liebenswürdig: 1
anders als durch selbstmord: 1
anderthalb stunden gegen sandomierz: 1
andrang von material halte: 1
anfangen zu denken wo: 1
anfängt besseres befinden wenig: 1
angegriffen sehr viel material: 1
angehäuft ohne es ordnen: 1
angekommen die ganze nacht: 1
angekommen wo wir die: 1
angelegenheit ein oberleutnant als: 1
angenehm als ich dadurch: 1
angenehme gefühl eines kleinen: 1
angeschlossen hat dies ist: 1
angst vor der zukunft: 1
angst wegen meiner zukunft: 1
anhaltende kanonade große kälte: 1
anhaltender donner höre gerade: 1
animo g t k: 1
ankommen sollen bin sehr: 1
anregung wieder etwas sinnlich: 1
ans hiesige regimentskommando kam: 1
anstrengung fürchte ja nochmals: 1
anständigen menschen denn hier: 1
anständiger als die alte: 1
anständiger kerl in der: 1
anständiger mensch dabei ist: 1
anständiger mensch zu sein: 1
anständigkeit lohnt sich auf: 1
antreten gott mit mir: 1
antwerpen gefallen ist und: 1
antwort es kommt ein: 1
antwort von david ob: 1
antworten frech ungenügend welcher: 1
antwortete gleich ein wenig: 1
anzeichen daß hier in: 1
anziehen ich lief fast: 1
anzukleiden es war falscher: 1
anzuschauen ich kam mit: 1
arbeit an einem anderen: 1
arbeit auf diesem schiffe: 1
arbeit bin ich ganz: 1
arbeit bis 11 uhr: 1
arbeit der man nicht: 1
arbeit der scheinwerfer wird: 1
arbeit die ich leicht: 1
arbeit früh weiter gegen: 1
arbeit ganz gar unfamiliär: 1
arbeit ich mußte eine: 1
arbeit ist ein stillstand: 1
arbeit ist nach kurzem: 1
arbeit ist vormitt einkaufen: 1
arbeit mit den leuten: 1
arbeit noch immer ohne: 1
arbeit selbst zu einer: 1
arbeit verrichten und sich: 1
arbeit wird zur qual: 1
arbeit zum frondienst es: 1
arbeite aber mit zuversicht: 1
arbeite nicht zum zeitvertreib: 1
arbeite oft mit vielen: 1
arbeite sehr fleißig aber: 1
arbeite täglich ein ganz: 1
arbeite täglich etwas aber: 1
arbeite täglich mehr oder: 1
arbeite viel ich bin: 1
arbeite wenig manuell aber: 1
arbeiten abends wie gewöhnlich: 1
arbeiten aber doch nicht: 1
arbeiten arbeite aber mit: 1
arbeiten aus ist das: 1
arbeiten da ich nicht: 1
arbeiten dabei doch nichts: 1
arbeiten das klare sehen: 1
arbeiten fühlte mich darauf: 1
arbeiten gebadet ganzen tag: 1
arbeiten gekommen aber es: 1
arbeiten gekommen ein wenig: 1
arbeiten gekommen ganzen tag: 1
arbeiten gekommen wenn immer: 1
arbeiten gestimmt lese viel: 1
arbeiten kann ist unbeschreiblich: 1
arbeiten kann oder ist: 1
arbeiten kommen nur gott: 1
arbeiten können ob der: 1
arbeiten schlief in der: 1
arbeiten sehr müde meine: 1
arbeiten wenn solche gedanken: 1
arbeiten wobei ich natürlich: 1
arbeiten während ich kartoffeln: 1
arbeiten zu können netten: 1
arme arme mama auch: 1
arme mama auch von: 1
arme trakl dein wille: 1
armen paul denken der: 1
armen trakl die ich: 1
artilleriefeuer sondern nur infanteriefeuer: 1
artilleriestabsabteilung gewiesen werde wohl: 1
atmosphäre tut mir gut: 1
auch alle anderen waren: 1
auch am nachmittag gearbeitet: 1
auch ausnahmen heute nacht: 1
auch dann fürchten wenn: 1
auch das bißchen preis: 1
auch das muß man: 1
auch die lästigste arbeit: 1
auch die rede davon: 1
auch diese nacht ruhig: 1
auch ein grund weshalb: 1
auch eine furchtbar traurige: 1
auch entnehme ich daß: 1
auch fühle ich jedes: 1
auch gearbeitet habe ich: 1
auch heute sehr viel: 1
auch ich war übrigens: 1
auch in der letzten: 1
auch in der selben: 1
auch in meiner vielen: 1
auch in seinen schriften: 1
auch mein gehirn hinkte: 1
auch nachts hier bleiben: 1
auch noch diese nacht: 1
auch ohne einen solchen: 1
auch tue die probleme: 1
auch von ficker der: 1
auf besorgungen die belagerung: 1
auf dem deck antreten: 1
auf dem deck ist: 1
auf dem festungskommando wegen: 1
auf dem schiff bleibe: 1
auf dem schiff wo: 1
auf dem stroh am: 1
auf dem weg nach: 1
auf dem wege brach: 1
auf dem wege zu: 1
auf den fersen habe: 1
auf den fersen wir: 1
auf den schlaf freue: 1
auf der bloßen erde: 1
auf der goplana nochmals: 1
auf der kommandobrücke bis: 1
auf der wache fast: 1
auf der wacht ereignete: 1
