viel über meine: 2
von david bin: 2
von david ich: 2
von diesem schiff: 2
von hier weg: 2
von zeit zu: 2
vor der zukunft: 2
war den ganzen: 2
was ich tun: 2
weil mir das: 2
weiß nicht was: 2
wenig gearbeitet ein: 2
wenig gearbeitet nicht: 2
wenig gearbeitet war: 2
wenn ich nicht: 2
werde ich auch: 2
werde ich mich: 2
werde ich vielleicht: 2
werde wohl nicht: 2
wie gott will: 2
wie schwer es: 2
wieder arbeiten nicht: 2
wieder besser arbeiten: 2
wille geschehe die: 2
wir winterquartiere beziehen: 2
wird jetzt mit: 2
zeit zu zeit: 2
ziemlich gearbeitet aber: 2
zu den aufklärern: 2
zu gehen da: 2
zu müde es: 2
zum ersten mal: 2
ärgere dich nicht: 2
über den fluß: 2
über den see: 2
1 38 ich: 1
1 nicht gearbeitet: 1
10 bis abends: 1
10 km von: 1
10 p m: 1
10 tage hier: 1
101 2 schieden: 1
11 2 monaten: 1
12 p m: 1
14 1 nicht: 1
14 tagen nur: 1
16 tortur von: 1
2 früh geleuchtet: 1
2 gläser kaffee: 1
2 monaten fast: 1
2 monaten nur: 1
2 p m: 1
2 schieden ungemein: 1
20 km von: 1
22 3 vollkommen: 1
3 4 monate: 1
3 mal o: 1
3 tagen bahnfahrt: 1
3 vollkommen asexuell: 1
3 wochen ob: 1
31 2 früh: 1
38 ich verkühlt: 1
4 1 38: 1
4 16 tortur: 1
4 monate sind: 1
4 monaten zum: 1
4 offiziere bei: 1
4ten 5ten tag: 1
5 im bureau: 1
5 in der: 1
5ten tag wachdienst: 1
6 7 monatlichen: 1
6 kanzlei ganz: 1
6 uhr aufs: 1
7 4 16: 1
7 leuten am: 1
7 monatlichen belagerung: 1
8 gekauft darin: 1
8 tagen gehen: 1
8 uhr abends: 1
8 uhr früh: 1
91 2 p: 1
a r alles: 1
a r kaffee: 1
ab dann brauchst: 1
abberufen werde so: 1
abend auf dem: 1
abend bei hpm: 1
abend besser sehr: 1
abend einen momentanen: 1
abend etwas gearbeitet: 1
abend hier in: 1
abend in ein: 1
abend ist ein: 1
abend legte sich: 1
abend leichter nicht: 1
abend mich auf: 1
abend noch hatte: 1
abend wieder am: 1
abends 5 im: 1
abends ankommen sollen: 1
abends bad nicht: 1
abends erhielt soeben: 1
abends gebadet mehr: 1
abends gebadet wurde: 1
abends gemütlich bei: 1
abends genügende innere: 1
abends ich nicht: 1
abends im bad: 1
abends in der: 1
abends in krakau: 1
abends kam plötzlich: 1
abends mit ihm: 1
abends mit vielen: 1
abends wie gewöhnlich: 1
abends wie ich: 1
abends zu sich: 1
aber auch die: 1
aber auch eitelkeit: 1
aber auch große: 1
aber auch nie: 1
aber auf ganz: 1
aber beschränkt sie: 1
aber böse herzlose: 1
aber das gute: 1
aber das ist: 1
aber das kräftespiel: 1
aber das macht: 1
aber das meine: 1
aber das sollte: 1
aber das wort: 1
aber der geist: 1
aber die antwort: 1
aber die enorme: 1
aber die gewohnheit: 1
aber die verbindung: 1
aber diese ruhe: 1
aber diesen teil: 1
aber doch nicht: 1
aber durch gott: 1
aber ein solches: 1
aber er hat: 1
aber erfolglos gearbeitet: 1
aber es fehlt: 1
aber es flog: 1
aber es rührt: 1
aber es wird: 1
aber es wäre: 1
aber es würde: 1
aber gleitet es: 1
aber gott wird: 1
aber habe keinen: 1
aber ich bin: 1
aber ich fühle: 1
aber ich habe: 1
aber ich muß: 1
aber ich vergesse: 1
aber ich war: 1
aber ich weiß: 1
aber ich will: 1
aber immer noch: 1
aber in den: 1
aber in der: 1
aber ist rege: 1
aber jetzt zu: 1
aber kaum denken: 1
aber kommst du: 1
aber könnte ich: 1
aber meine gedanken: 1
aber meine herzenskälte: 1
aber merkwürdigerweise nicht: 1
aber muß viel: 1
aber möchte ich: 1
aber möge es: 1
aber nicht gerade: 1
aber nicht klar: 1
aber nicht mein: 1
aber nicht mit: 1
aber nicht mutlos: 1
aber nicht ohne: 1
aber nicht schlecht: 1
aber nicht viel: 1
aber nichts machen: 1
aber noch immer: 1
aber noch konnte: 1
aber nur mut: 1
aber ohne die: 1
aber ohne rechte: 1
aber ohne wirklichen: 1
aber schlecht sehr: 1
aber schon wieder: 1
aber sie ekeln: 1
aber sie kommen: 1
aber so ist: 1
aber soll der: 1
aber trotzdem kann: 1
aber tun daß: 1
aber viel erlebt: 1
aber warum nicht: 1
aber wenig herz: 1
aber wenn sie: 1
aber wie wenn: 1
aber wieviel kraft: 1
aber wir werden: 1
aber wirklich erlöst: 1
aber wohl anders: 1
aber zu müde: 1
aber zu nichts: 1
abfahren aber möchte: 1
abfahren halt es: 1
abfinden kann hier: 1
abgehen bin froh: 1
abgehen werde kann: 1
abgeholfen werden könnte: 1
abgeschickt ging mit: 1
abgeschickt wie oft: 1
abgeschlossen wenn ich: 1
abgespannt sehr abgespannt: 1
abgespannt was dagegen: 1
abhängen nicht viel: 1
abhängig von der: 1
abkommandiert ich habe: 1
abkommandiert ich kann: 1
abneigungen preisgegeben dann: 1
abneigungen pueril sein: 1
aborte des schiffs: 1
abschieben lassen wenn: 1
abschied von allen: 1
abschließe ich kann: 1
abschließen nicht leicht: 1
absehbarer zeit zum: 1
abseits vom trostlosen: 1
absicht in kenntnis: 1
abstrakter geist man: 1
abteilung sprechen dies: 1
abweisend zurückweisend dabei: 1
abziehe die größte: 1
abzureisen wäre der: 1
adam auf sehr: 1
adjutanten des oblt: 1
adresse trinity college: 1
affektiert bequem doch: 1
ahne alles mögliche: 1
ahnung daß heute: 1
alarm sein werde: 1
alle anderen waren: 1
alle geschäfte sind: 1
alle hohepriester der: 1
alle stufen vom: 1
alle von selbst: 1
alle wohltaten so: 1
allein allein gott: 1
allein gott sei: 1
allein in einem: 1
allein mit der: 1
allein und können: 1
allem vor dem: 1
allen früheren als: 1
allen guten geistern: 1
allen habe nicht: 1
allen lehrern der: 1
allen leuten zusammen: 1
allen menschen sehr: 1
allen mitteln meine: 1
allen seiten heftigster: 1
aller bestimmtheit erwartet: 1
aller wahrscheinlichkeit nach: 1
alles an mir: 1
alles andere würde: 1
alles anders und: 1
alles das liegt: 1
alles deshalb schon: 1
alles gott überlassen: 1
alles im gleichen: 1
alles in gottes: 1
alles mögliche gestern: 1
alles mögliche nachgedacht: 1
alles mögliche zu: 1
alles ruhig aber: 1
alles sehr schwer: 1
alles tief traurig: 1
alles versteht das: 1
alles weil mich: 1
allgemeinen trüber stimmung: 1
allgemeiner gedanken betrachtungen: 1
alltäglich ohne leben: 1
als 3 wochen: 1
als an essen: 1
als der stehende: 1
als eine gnade: 1
als einer woche: 1
als er hörte: 1
als etwa zu: 1
als faulpelz und: 1
als freiwilligen so: 1
als ich bin: 1
als ich ich: 1
als ich jetzt: 1
als ich lebe: 1
als ich schon: 1
als ich wahrscheinlich: 1
als infantrist an: 1
als jetzt wie: 1
als könnte ich: 1
als liege mein: 1
als man ist: 1
als mir damals: 1
als nötig nicht: 1
als ob auch: 1
als ob ein: 1
als ob eine: 1
als sei es: 1
als seine nebenmenschen: 1
als sollte ich: 1
als um jedenfalls: 1
als unannehmlichkeiten nicht: 1
als ungeheuer beschränkt: 1
als verbannung ich: 1
als von menschen: 1
also aus dem: 1
also etwa eine: 1
also im höchsten: 1
also meine noten: 1
also mut gott: 1
also muß sich: 1
also nur geschehen: 1
also schon dezember: 1
also sei erst: 1
also sinnlich stark: 1
alten logiker dziewicki: 1
alter mann erneuerte: 1
am abend leichter: 1
am abend mich: 1
am arbeiten hatte: 1
am besten wär: 1
am himmel hängst: 1
am korpskommando meinen: 1
am korpskommando mit: 1
am posten als: 1
am posten fühlte: 1
am rückweg in: 1
am sand stecken: 1
am schiff abschließe: 1
am weinen fühle: 1
amen bin wie: 1
amen gott mit: 1
amen ich bin: 1
amen ich übergebe: 1
amen in der: 1
amen lebe mit: 1
amen möchte der: 1
amen nachts ruhe: 1
an begreiflich höchste: 1
an das was: 1
an das ziel: 1
an david und: 1
an david vielleicht: 1
an daß mich: 1
an deiner erlösung: 1
an dem ich: 1
an dem tor: 1
an dem wagen: 1
an den lieben: 1
an der auferstehung: 1
an der hiesigen: 1
an der oberfläche: 1
an deutschland erfolgt: 1
an die adresse: 1
an die artilleriestabsabteilung: 1
an die front: 1
an die grenze: 1
an die logik: 1
an dir selbst: 1
an ein wahres: 1
an einem anderen: 1
an ermutigt ihn: 1
an essen trinken: 1
an ficker besorgungen: 1
an francis daß: 1
an gilbert wegen: 1
an gott dein: 1
an heute nacht: 1
an heute strenge: 1
an ihn das: 1
an ihn denke: 1
an ihr muß: 1
an marguerite francis: 1
an meine frühere: 1
an meine liebe: 1
an mich denkt: 1
an mich selbst: 1
an nicht von: 1
an nicht wie: 1
an nichts denken: 1
an nichts eine: 1
an russell hatte: 1
an russell schreiben: 1
an seine stelle: 1
an selbstmord werde: 1
an sich nicht: 1
an wie ein: 1
andere besatzung darauf: 1
andere flüchten kann: 1
andere kann nicht: 1
andere mich zu: 1
andere nicht so: 1
andere sache auf: 1
andere werden dich: 1
andere würde sich: 1
anderen am schiff: 1
anderen an ermutigt: 1
anderen brauchen schwer: 1
anderen geistern bestrahlen: 1
anderen halt haben: 1
anderen mit deiner: 1
anderen offizier was: 1
anderen schiff mit: 1
anderen waren riesig: 1
anderes er kann: 1
anderes tun als: 1
anders lebte was: 1
anders und es: 1
anders werden feiger: 1
anders werden sehr: 1
anderseits muß ich: 1
anderswo jetzt vielleicht: 1
andre wir gingen: 1
anfangen und kann: 1
anfangen zu denken: 1
anfangs in aussicht: 1
anfängt mein geist: 1
angekommen bin müde: 1
angekommen in einer: 1
angekommen in wien: 1
angelegenheit ein oberleutnant: 1
angelegenheit werde morgen: 1
angenehm ist noch: 1
angenehme gefühl eines: 1
angesucht auf den: 1
angriff sein nun: 1
angst davor daß: 1
angst vor dem: 1
angst vor der: 1
angst wegen meiner: 1
angstgedanken hindern mich: 1
anhaltend unwohl unwohl: 1
anhaltende kanonade große: 1
anhaltender donner höre: 1
animo abends gebadet: 1
animo es wird: 1
animo g t: 1
animo habe jetzt: 1
animo meine gedanken: 1
ankommen sehr sinnlich: 1
ankommen sollen bin: 1
anlässen sehr kalt: 1
anna rebni beunruhigt: 1
anna rebni gegangen: 1
anna rebni milch: 1
annäherung österreichs an: 1
anreden ist es: 1
anregung wieder etwas: 1
anschein als könnte: 1
anstrahlen jetzt wieder: 1
anstrengung gestern heute: 1
anständig nicht gemein: 1
anständigen menschen denn: 1
anständiger mensch dabei: 1
anständigkeit lohnt sich: 1
anständigsten unanständigsten und: 1
ansuchen zu den: 1
ansätze sehr allgemeiner: 1
antwort es kommt: 1
antwort von david: 1
antworten frech ungenügend: 1
antwortete gleich ein: 1
anzusehen ist freilich: 1
arbeit an einem: 1
arbeit außerstande zu: 1
arbeit der man: 1
arbeit der scheinwerfer: 1
arbeit die ich: 1
arbeit früh weiter: 1
arbeit furchtbare witterung: 1
arbeit fähig meine: 1
arbeit ich mußte: 1
arbeit ist ein: 1
arbeit mit den: 1
arbeit nicht fähig: 1
arbeit nicht gearbeitet: 1
arbeit scheint mir: 1
arbeit schläft in: 1
arbeit sehr sinnlich: 1
arbeit stecken geblieben: 1
arbeit von hervorragenden: 1
arbeit weiter gehen: 1
arbeite arbeite sehr: 1
arbeite arbeite sonst: 1
arbeite ich nicht: 1
arbeite in der: 1
arbeite nicht zum: 1
arbeite noch nicht: 1
arbeite nur fort: 1
